index,id,type,time,author,author_id,re_tweeter,associated_tweet,text,links,hashtags,mentions,reply_count,favorite_count,retweet_count,user_bio,user_location,user_url,user_tweets,user_following,user_followers,user_favorites
0,1259996698304274432,tweet,1589241597000,KCipolline,2214376850,,1259996698304274432,when I go back to school in the fall the only times I will be around other people is when I have to be in class & when I need to take the bus to get my meds/groceries & if I had my druthers I would be doing neither until there was a vaccine readily available https://twitter.com/bobeaubreaux/status/1259938064132177920 …,['https://t.co/jvPUf8H4gH'],[],[],1,0,0,"24. Queer. Bipolar. She/her. Regrettably, not a lanky brunette with a wicked jaw. Head here to see my Instagram/Ko-Fi/Etsy/art stores!",,https://linktr.ee/katecipolla,71674,1547,430,108523
1,1259996688984477861,tweet,1589241594000,Breaking24Seven,700264840414285825,,1259996688984477861,CEPI to invest over $350M in Novavax's COVID-19 vaccinehttps://www.breakingthenews.net/Article/CEPI-to-invest-over-dollar350M-in-Novavax's-COVID-19-vaccine/52124994 …,['https://t.co/hT7i80hODf'],[],[],0,0,0,"Tweeting about #markets, #business, #politics and more... 
Account of TeleTrader GmbH","Vienna, Austria",http://www.breakingthenews.net,56496,1067,11787,383
2,1259996652686831616,tweet,1589241586000,luiginop24,733751216270905345,,1259906868438274049,The truth will come out soon. He was Black mailed by the FBI. You keep watching CNN. Keep taking your vaccines because a software  guy tells you and keep getting your political facts from Hollywood. Because they would all be doctors and politicians if they weren't acting.,[],[],[],0,0,0,"Ephesians 6:10-18
The Armor of God
10 Finally, be strong in the Lord and in the strength of His might. 11 Put on the full armor of God, so that you will be able",,,1886,58,36,183
3,1259996651973902336,tweet,1589241586000,CavalryGuy9,293204167,,1259943863621267457,"When? I have had no issues with tests. Also, if that's the case why did he send a boat to NYC? Why is he pushing a vaccine? Jesus you're dumb.",[],[],[],0,0,0,Florida Gators / Arsenal Gunner Fan. Gamer. Army Veteran.  Hunter / Fisherman. Opinions are my own.,"Oak Ridge, TN",,10620,1035,420,67534
4,1259996650405277696,tweet,1589241585000,rosieglow2010,40606788,,1259991928273285121,Go on unemployment until a vaccine is developed.,[],[],[],1,0,0,"Three equal co-branches of government!
Go Bernie 2020!",,,51316,5001,3118,30800
5,1259996646022266887,tweet,1589241584000,zapata_36,43115649,,1259996646022266887,"A quarter of ex-transit riders won’t take the #TTC again without #COVID19 vaccine, study says https://www.thestar.com/news/gta/2020/05/11/a-quarter-of-ex-transit-riders-wont-take-the-ttc-again-without-covid-19-vaccine-study-says.html …",['https://t.co/bKSbwbsPzF'],"['#TTC', '#COVID19']",[],0,0,0,"The AI does not hate you, nor does it love you, but you are made out of atoms which it can use for something else.",,,27139,1805,550,947
6,1259996637545615362,tweet,1589241582000,TexanTarHeel6,772524532519215104,,1259996637545615362,Y’all won’t even get the flu vaccine but talking about you not leaving the house until the Rona vaccine.,[],[],[],2,1,2,Hebrews 10:23  H-town saved me  Carolina made me  NICU babies are my ,,,1964,465,98,39588
7,1259996612094500866,tweet,1589241576000,AlexandreKrausz,471516779,,1259996612094500866,"Even finding a #COVID19 vaccine won’t be enough to end the pandemic. If #coronavirus persists, the volume of vaccine available in coming years is expected to fall far short of global demand. #vaccine  https://www.washingtonpost.com/business/2020/05/11/coronavirus-vaccine-global-supply/ …",['https://t.co/wM85xKoLZs'],"['#COVID19', '#coronavirus', '#vaccine']",[],0,4,1,Founder @Liberalpt  | Senior Political Advisor @RenewEurope | Holocaust Descendant | Europeanist  Atlanticist | Space ,,https://www.instagram.com/alexandre.krauss/,12177,1863,11519,10489
8,1259996609686855680,tweet,1589241576000,NoStayOfficial,1065594392788971520,,1259991770378596352,Social distancing is a scam. Once you have taken the vaccine which incorporates nano dust technogy 5G and 5G satellites will be able to track you. If in a group or closer than 1.5 metres the technology is not effective. YOU WILL THEN BE CONNECTED TO AI LOSS OF YOUR HUMANITY,[],[],[],1,2,0,http://Nostay.com.au,,http://www.nostay.com.au,158,127,19,294
9,1259996578649178113,tweet,1589241568000,1984patriot,763775588309938177,,1259967846001582085,Only an idiot would take a Gates backed vaccine. Never been one for HIV or any C virus. Yet the elites consider us all fools.,[],[],[],0,1,0,,,,8508,482,166,10212
